stat,statistic,pvalue,label,comparaison
wasserstein,3.5747875252214523,,Truth,within
wasserstein,168.87790786915735,,Indep,within
wasserstein,164.54749334975077,,Markov,within
wasserstein,117.9142410351315,,HMM,within
wasserstein,25.16422607530573,,WGAN,within
wasserstein,49.51815987042378,,RBM,within
wasserstein,20.856655561502546,,HCLT,within
wasserstein,1.8086729800164294,,Truth,between
wasserstein,80.20108243202212,,Indep,between
wasserstein,79.35929854461756,,Markov,between
wasserstein,64.24692794778106,,HMM,between
wasserstein,13.080695519602614,,WGAN,between
wasserstein,25.814146506247,,RBM,between
wasserstein,11.884090229194094,,HCLT,between
wasserstein,0.0,,Real,dTS
wasserstein,0.0,,Real,dST
wasserstein,146.06760772659732,,Truth,dTS
wasserstein,148.14673105497772,,Truth,dST
wasserstein,663.4071322436848,,Indep,dTS
wasserstein,404.0133729569094,,Indep,dST
wasserstein,656.4149331352153,,Markov,dTS
wasserstein,409.96396731054983,,Markov,dST
wasserstein,515.5731797919763,,HMM,dTS
wasserstein,340.8811292719168,,HMM,dST
wasserstein,143.58506686478455,,WGAN,dTS
wasserstein,130.40156017830608,,WGAN,dST
wasserstein,179.79123328380388,,RBM,dTS
wasserstein,161.38075780089153,,RBM,dST
wasserstein,204.4097325408618,,HCLT,dTS
wasserstein,176.22734026745914,,HCLT,dST
